t,Q,B,RS,RL
0.0,0.0,0.0,0.0,0.0
0.1,23.41,20.4,0.0,19.18
0.2,26.26,51.25,0.06,50.0
0.30000000000000004,28.6,83.8,0.21,81.65
0.4,28.82,117.32,0.51,113.58
0.5,28.56,151.44,0.72,146.32
0.6,29.39,185.28,0.8,179.02
0.7,30.68,219.28,1.04,212.68
0.7999999999999999,31.09,254.42,1.18,246.96
0.8999999999999999,33.13,290.62,1.64,279.97
0.9999999999999999,34.07,327.4,2.16,314.29
1.0999999999999999,34.31,364.51,2.54,349.16
1.2,36.16,401.44,3.36,382.76
1.3,38.0,438.91,4.19,417.57
1.4000000000000001,38.69,476.29,5.17,453.23
1.5000000000000002,40.59,513.05,6.06,488.03
1.6000000000000003,39.68,551.1,6.92,523.96
1.7000000000000004,40.41,588.75,7.34,559.22
1.8000000000000005,40.51,626.31,8.14,595.13
1.9000000000000006,41.4,665.01,8.68,629.88
2.0000000000000004,42.28,702.44,9.12,664.89
2.1000000000000005,42.61,740.5,9.27,699.34
2.2000000000000006,41.43,778.83,9.92,733.52
2.3000000000000007,42.13,817.09,10.14,767.52
2.400000000000001,43.78,854.47,10.28,800.4
2.500000000000001,42.26,892.3,10.5,834.85
2.600000000000001,41.12,929.89,10.29,867.24
2.700000000000001,40.32,968.03,9.88,899.65
2.800000000000001,40.08,1005.13,9.84,931.48
2.9000000000000012,41.05,1041.57,9.35,961.9
3.0000000000000013,39.72,1078.38,9.23,991.04
3.1000000000000014,37.29,1116.1,8.79,1021.2
3.2000000000000015,37.31,1152.76,8.22,1049.91
3.3000000000000016,37.63,1189.15,7.71,1077.17
3.4000000000000017,36.07,1225.38,7.16,1104.72
3.5000000000000018,34.5,1262.44,6.43,1131.27
3.600000000000002,32.78,1298.99,5.61,1156.76
3.700000000000002,32.89,1333.88,4.89,1181.32
3.800000000000002,32.79,1369.08,4.31,1204.98
3.900000000000002,31.07,1403.62,3.91,1228.57
4.000000000000002,30.79,1436.98,3.5,1251.41
4.100000000000001,30.64,1469.94,3.07,1272.26
4.200000000000001,29.66,1503.01,2.69,1292.87
4.300000000000001,28.89,1535.32,2.14,1313.13
4.4,26.81,1567.84,1.81,1332.6
4.5,27.42,1598.84,1.44,1350.48
4.6,26.85,1630.28,1.22,1369.19
4.699999999999999,26.55,1660.27,1.02,1387.49
4.799999999999999,27.52,1691.2,0.94,1404.75
4.899999999999999,26.67,1721.25,0.88,1421.16
4.999999999999998,27.54,1751.08,0.78,1438.27
5.099999999999998,28.11,1781.25,0.79,1454.16
5.1999999999999975,25.93,1811.96,0.66,1471.45
5.299999999999997,26.61,1841.78,0.59,1486.43
5.399999999999997,27.92,1870.3,0.56,1502.62
5.4999999999999964,28.05,1900.92,0.67,1518.98
5.599999999999996,27.64,1931.67,0.74,1536.38
5.699999999999996,26.07,1962.65,0.7,1553.15
5.799999999999995,28.17,1992.9,0.75,1568.82
5.899999999999995,28.54,2024.11,0.75,1586.39
5.999999999999995,28.68,2054.88,0.82,1603.12
6.099999999999994,27.95,2086.37,0.99,1620.58
6.199999999999994,29.68,2118.25,1.16,1636.44
6.299999999999994,29.79,2150.6,1.29,1654.58
6.399999999999993,31.92,2183.49,1.4,1671.51
6.499999999999993,31.63,2216.86,1.61,1691.58
6.5999999999999925,31.46,2250.82,1.95,1710.88
6.699999999999992,32.9,2285.08,2.23,1730.27
6.799999999999992,36.0,2318.66,2.61,1749.33
6.8999999999999915,37.14,2355.28,3.03,1768.24
6.999999999999991,38.02,2390.79,3.92,1788.5
7.099999999999991,39.4,2425.85,4.89,1810.23
7.19999999999999,41.73,2460.82,5.92,1832.32
7.29999999999999,43.44,2496.17,7.36,1853.62
7.39999999999999,46.86,2531.54,8.82,1875.06
7.499999999999989,46.6,2568.42,10.69,1898.54
7.599999999999989,47.4,2605.65,11.77,1920.66
7.699999999999989,49.94,2641.34,13.18,1943.47
7.799999999999988,52.33,2678.32,14.63,1966.51
7.899999999999988,55.34,2715.2,16.38,1990.29
7.999999999999988,57.43,2751.6,18.61,2013.02
8.099999999999987,57.06,2788.0,20.6,2037.37
8.199999999999987,60.04,2824.01,22.39,2060.84
8.299999999999986,62.63,2859.17,23.49,2084.69
8.399999999999986,62.29,2895.6,25.24,2109.35
8.499999999999986,64.88,2931.27,26.87,2132.52
8.599999999999985,64.25,2967.29,28.27,2158.73
8.699999999999985,65.34,3002.6,29.3,2184.79
8.799999999999985,66.27,3037.62,30.74,2208.85
8.899999999999984,66.81,3072.83,31.48,2235.0
8.999999999999984,67.11,3108.5,32.16,2259.77
9.099999999999984,66.42,3145.57,33.03,2284.68
9.199999999999983,67.06,3181.43,33.17,2309.89
9.299999999999983,66.43,3217.55,33.06,2335.05
9.399999999999983,67.15,3253.28,33.27,2358.87
9.499999999999982,66.49,3289.31,34.23,2381.38
9.599999999999982,67.79,3325.02,34.14,2403.0
9.699999999999982,66.53,3360.64,34.09,2426.33
9.799999999999981,64.62,3396.93,33.9,2449.42
9.89999999999998,63.82,3432.97,34.17,2471.08
9.99999999999998,62.82,3468.68,33.71,2492.6
10.09999999999998,62.38,3503.88,32.55,2514.03
10.19999999999998,59.48,3540.08,31.45,2535.25
10.29999999999998,60.34,3575.47,29.87,2554.03
10.399999999999979,57.11,3612.49,29.23,2573.13
10.499999999999979,56.19,3647.52,28.21,2592.08
10.599999999999978,54.78,3683.56,27.01,2608.35
10.699999999999978,55.45,3717.74,25.5,2624.97
10.799999999999978,51.75,3753.41,25.17,2641.79
10.899999999999977,51.35,3787.61,23.5,2657.26
10.999999999999977,48.46,3822.55,22.58,2672.65
11.099999999999977,48.37,3857.05,20.81,2686.86
11.199999999999976,46.78,3892.42,18.98,2699.55
11.299999999999976,44.36,3927.05,18.11,2711.94
11.399999999999975,43.24,3961.63,16.5,2724.56
11.499999999999975,42.57,3995.79,14.94,2737.32
11.599999999999975,42.68,4029.56,13.85,2748.94
11.699999999999974,41.51,4062.88,13.05,2760.34
11.799999999999974,39.11,4097.19,11.8,2772.72
11.899999999999974,39.66,4130.21,10.99,2782.54
11.999999999999973,37.93,4163.84,10.15,2792.58
12.099999999999973,38.44,4197.1,9.39,2802.47
12.199999999999973,37.77,4231.31,8.84,2812.15
12.299999999999972,38.53,4265.03,8.04,2821.31
12.399999999999972,39.05,4298.24,7.68,2829.84
12.499999999999972,39.2,4331.55,7.59,2839.13
12.599999999999971,38.93,4364.16,7.75,2849.67
12.69999999999997,38.16,4398.01,7.54,2860.38
12.79999999999997,39.79,4431.53,7.84,2869.3
12.89999999999997,39.45,4464.98,8.14,2879.7
12.99999999999997,42.98,4498.38,8.38,2887.09
13.09999999999997,41.94,4531.72,8.87,2897.91
13.199999999999969,42.96,4564.19,9.46,2909.14
13.299999999999969,46.28,4597.5,10.09,2918.15
13.399999999999968,47.86,4631.18,11.35,2928.18
13.499999999999968,47.18,4665.08,12.33,2940.34
13.599999999999968,48.87,4700.04,13.01,2951.31
13.699999999999967,52.54,4733.3,14.31,2962.9
13.799999999999967,54.68,4766.69,16.51,2975.03
13.899999999999967,56.23,4800.61,18.23,2986.96
13.999999999999966,56.72,4834.42,19.92,3000.42
14.099999999999966,58.65,4867.52,21.38,3014.61
14.199999999999966,61.88,4900.91,23.79,3027.02
14.299999999999965,62.8,4935.06,25.09,3042.38
14.399999999999965,65.12,4968.32,27.3,3057.0
14.499999999999964,66.14,5001.88,29.65,3074.07
14.599999999999964,69.37,5035.07,30.32,3090.72
14.699999999999964,71.88,5067.73,32.56,3106.88
14.799999999999963,72.23,5101.73,34.22,3123.64
14.899999999999963,73.87,5135.66,35.5,3141.55
14.999999999999963,77.18,5168.38,37.54,3158.39
15.099999999999962,78.28,5201.57,39.84,3175.5
15.199999999999962,77.98,5235.67,41.68,3194.02
15.299999999999962,80.07,5269.16,42.95,3212.03
15.399999999999961,80.27,5302.86,44.9,3231.16
15.499999999999961,80.9,5336.22,46.56,3249.72
15.59999999999996,82.28,5369.28,47.15,3268.83
15.69999999999996,84.07,5402.39,48.58,3288.25
15.79999999999996,85.01,5435.04,50.64,3306.86
15.89999999999996,87.16,5468.88,51.38,3324.52
15.99999999999996,88.37,5501.44,52.89,3342.28
16.09999999999996,89.69,5533.99,52.78,3362.51
16.19999999999996,87.91,5567.55,54.31,3380.82
16.29999999999996,87.57,5599.62,54.63,3400.21
16.399999999999963,86.19,5633.18,53.89,3418.21
16.499999999999964,87.81,5666.48,53.71,3434.91
16.599999999999966,87.53,5699.32,54.35,3452.24
16.699999999999967,84.93,5732.54,54.31,3469.29
16.79999999999997,85.12,5765.0,53.88,3485.54
16.89999999999997,83.11,5797.95,53.39,3501.89
16.99999999999997,82.26,5831.14,52.27,3517.33
17.099999999999973,80.23,5863.94,51.87,3533.78
17.199999999999974,80.05,5897.16,50.99,3548.19
17.299999999999976,78.94,5929.4,50.06,3563.44
17.399999999999977,76.48,5962.32,48.74,3578.48
17.49999999999998,75.14,5994.11,47.58,3592.64
17.59999999999998,74.7,6025.31,46.34,3604.95
17.69999999999998,73.63,6057.96,44.99,3616.22
17.799999999999983,71.7,6090.59,44.59,3626.47
17.899999999999984,69.07,6123.25,42.98,3637.37
17.999999999999986,67.82,6156.7,41.18,3646.51
18.099999999999987,65.72,6188.39,39.74,3656.51
18.19999999999999,65.43,6220.39,37.51,3665.34
18.29999999999999,63.31,6253.02,36.3,3673.88
18.39999999999999,63.4,6284.76,34.02,3681.71
18.499999999999993,62.82,6315.39,33.29,3688.55
18.599999999999994,59.13,6349.08,32.16,3695.51
18.699999999999996,57.97,6380.09,30.83,3702.72
18.799999999999997,56.21,6412.08,29.93,3708.72
18.9,57.27,6444.55,28.43,3711.95
19.0,55.89,6475.5,27.17,3717.62
19.1,56.03,6506.29,26.07,3722.93
19.200000000000003,52.77,6540.02,25.41,3728.99
19.300000000000004,52.44,6571.87,24.62,3732.69
19.400000000000006,52.83,6603.65,23.49,3736.94
19.500000000000007,53.09,6634.36,22.93,3741.86
19.60000000000001,53.4,6666.09,22.06,3746.36
19.70000000000001,52.42,6697.74,22.09,3750.67
19.80000000000001,53.77,6730.0,21.55,3753.81
19.900000000000013,55.25,6761.55,21.73,3758.4
20.000000000000014,57.06,6792.36,21.64,3762.98
20.100000000000016,57.23,6824.03,22.25,3767.04
20.200000000000017,58.76,6854.87,23.49,3771.86
20.30000000000002,59.06,6885.17,24.93,3778.49
20.40000000000002,58.98,6917.66,25.64,3784.4
20.50000000000002,62.67,6949.23,25.78,3790.05
20.600000000000023,63.46,6980.38,26.9,3796.09
20.700000000000024,63.96,7011.74,28.49,3803.29
20.800000000000026,67.26,7043.17,29.4,3809.77
20.900000000000027,67.73,7074.25,31.4,3818.21
21.00000000000003,71.42,7104.85,32.55,3826.81
21.10000000000003,73.33,7135.73,35.11,3835.53
21.20000000000003,75.06,7166.01,37.04,3845.59
21.300000000000033,78.43,7196.62,38.74,3853.18
21.400000000000034,79.82,7227.08,41.62,3864.2
21.500000000000036,80.92,7258.46,43.03,3874.82
21.600000000000037,83.9,7288.88,44.99,3886.2
21.70000000000004,86.59,7320.3,47.63,3896.92
21.80000000000004,84.91,7352.92,49.44,3911.05
21.90000000000004,89.42,7384.29,50.81,3923.34
22.000000000000043,92.06,7414.5,53.4,3936.18
22.100000000000044,92.23,7447.32,54.81,3949.84
22.200000000000045,94.34,7477.15,56.97,3963.22
22.300000000000047,97.51,7507.75,58.8,3977.25
22.40000000000005,98.13,7539.37,61.07,3992.22
22.50000000000005,101.65,7569.94,62.09,4006.14
22.60000000000005,101.07,7600.32,62.99,4022.57
22.700000000000053,101.23,7631.25,63.89,4037.67
22.800000000000054,100.67,7661.68,65.14,4053.25
22.900000000000055,102.39,7692.46,66.07,4068.79
23.000000000000057,101.38,7722.41,67.11,4085.35
23.10000000000006,101.61,7752.64,68.13,4100.29
23.20000000000006,102.3,7782.15,68.81,4115.28
23.30000000000006,98.47,7813.75,68.94,4131.58
23.400000000000063,100.92,7844.46,68.3,4144.99
23.500000000000064,100.71,7875.29,68.87,4159.68
23.600000000000065,100.12,7906.23,69.86,4172.25
23.700000000000067,99.52,7936.88,68.79,4185.14
23.800000000000068,98.16,7966.2,68.58,4200.05
23.90000000000007,97.4,7996.88,67.78,4212.73
24.00000000000007,97.43,8026.2,66.6,4224.67
24.100000000000072,96.23,8056.19,65.63,4237.55
24.200000000000074,94.72,8085.64,64.87,4248.24
24.300000000000075,93.78,8115.36,63.81,4258.27
24.400000000000077,92.98,8146.61,63.76,4266.48
24.500000000000078,89.88,8177.09,62.39,4276.35
24.60000000000008,88.93,8207.09,60.57,4285.69
24.70000000000008,86.24,8236.78,59.22,4293.36
24.800000000000082,84.23,8266.33,58.06,4302.11
24.900000000000084,84.01,8294.92,56.7,4309.06
25.000000000000085,81.66,8325.55,54.7,4314.92
25.100000000000087,81.35,8353.26,52.92,4321.09
25.200000000000088,80.29,8381.61,51.27,4326.28
25.30000000000009,78.23,8410.56,49.78,4331.54
25.40000000000009,75.54,8440.9,48.18,4337.42
25.500000000000092,72.44,8471.79,47.1,4342.21
25.600000000000094,70.29,8501.81,45.15,4345.03
25.700000000000095,69.78,8530.96,43.44,4348.4
25.800000000000097,67.48,8560.97,41.91,4350.71
25.900000000000098,66.83,8591.82,40.32,4352.39
26.0000000000001,67.8,8620.74,38.9,4353.08
26.1000000000001,66.97,8650.52,38.2,4353.86
26.200000000000102,67.13,8679.28,37.55,4354.91
26.300000000000104,66.61,8708.82,37.03,4355.68
26.400000000000105,66.32,8737.71,36.03,4357.63
26.500000000000107,65.5,8768.29,35.76,4358.59
26.600000000000108,64.98,8797.73,35.34,4360.26
26.70000000000011,66.13,8826.31,34.46,4361.63
26.80000000000011,65.41,8855.13,34.52,4363.97
26.900000000000112,65.31,8884.56,34.42,4366.57
27.000000000000114,68.62,8913.09,34.4,4367.41
27.100000000000115,68.74,8941.71,35.63,4369.34
27.200000000000117,69.11,8971.23,36.47,4370.92
27.300000000000118,70.64,9000.35,36.91,4373.77
27.40000000000012,71.79,9030.81,37.5,4377.32
27.50000000000012,75.05,9059.11,38.7,4380.6
27.600000000000122,76.65,9087.7,40.94,4384.73
27.700000000000124,77.61,9118.11,42.22,4389.23
27.800000000000125,82.6,9145.98,43.12,4391.6
27.900000000000126,84.73,9173.81,44.93,4396.15
28.000000000000128,84.95,9202.83,46.89,4402.34
28.10000000000013,87.08,9232.79,47.97,4408.77
28.20000000000013,86.9,9261.86,50.04,4416.27
28.300000000000132,90.93,9290.2,52.14,4422.58
28.400000000000134,91.16,9320.09,54.14,4429.08
28.500000000000135,93.08,9348.34,56.14,4437.33
28.600000000000136,95.43,9378.35,57.45,4444.22
28.700000000000138,97.5,9406.7,58.7,4454.13
28.80000000000014,98.55,9436.31,61.31,4463.42
28.90000000000014,100.32,9465.08,63.4,4473.42
29.000000000000142,102.11,9493.97,65.04,4483.41
29.100000000000144,105.25,9520.93,66.46,4495.36
29.200000000000145,106.24,9549.58,68.69,4506.51
29.300000000000146,105.67,9578.06,70.32,4518.63
29.400000000000148,106.64,9606.97,71.07,4530.62
29.50000000000015,110.08,9635.04,72.3,4542.91
29.60000000000015,109.85,9664.01,73.49,4555.21
29.700000000000152,110.75,9692.2,74.13,4566.61
29.800000000000153,111.46,9721.37,75.11,4578.61
29.900000000000155,112.72,9749.1,76.84,4588.1
30.000000000000156,112.16,9778.02,77.62,4601.79
30.100000000000158,111.73,9806.9,77.93,4614.33
30.20000000000016,114.8,9833.36,78.87,4625.41
30.30000000000016,115.07,9860.88,79.61,4638.03
30.400000000000162,114.74,9888.67,80.09,4648.56
30.500000000000163,112.85,9916.02,80.83,4661.5
30.600000000000165,111.85,9943.58,81.08,4672.33
30.700000000000166,111.75,9972.12,80.2,4682.33
30.800000000000168,109.54,10000.47,80.28,4693.07
30.90000000000017,109.33,10029.29,79.29,4701.78
31.00000000000017,107.47,10056.83,78.52,4712.59
31.100000000000172,104.34,10083.82,76.89,4722.7
31.200000000000173,103.94,10111.7,74.46,4731.49
31.300000000000175,100.57,10140.29,73.3,4739.75
31.400000000000176,98.3,10168.16,73.07,4746.84
31.500000000000178,98.6,10195.74,70.9,4753.5
31.60000000000018,98.31,10224.24,69.42,4759.56
31.70000000000018,95.42,10252.94,68.94,4764.86
31.800000000000182,92.1,10281.37,68.19,4770.13
31.900000000000183,90.19,10308.96,65.79,4775.83
32.000000000000185,89.06,10335.67,62.98,4780.3
32.100000000000186,89.03,10362.53,61.63,4783.28
32.20000000000019,88.13,10389.17,61.24,4786.36
32.30000000000019,88.5,10416.1,59.0,4789.05
32.40000000000019,84.63,10443.7,57.44,4792.15
32.50000000000019,84.15,10470.39,56.96,4792.77
32.60000000000019,82.47,10497.77,56.15,4793.05
32.700000000000195,80.95,10524.84,55.29,4794.17
32.800000000000196,80.98,10551.48,53.39,4794.44
32.9000000000002,79.12,10579.26,52.2,4795.0
33.0000000000002,76.92,10607.47,50.5,4795.39
33.1000000000002,77.47,10633.98,49.57,4793.51
33.2000000000002,77.21,10661.74,48.45,4792.07
33.3000000000002,77.11,10687.49,47.66,4790.65
33.400000000000205,75.06,10715.45,46.38,4791.49
33.500000000000206,76.67,10741.26,45.82,4790.9
33.60000000000021,76.89,10767.7,44.66,4789.44
33.70000000000021,76.33,10795.02,45.08,4788.34
33.80000000000021,78.07,10822.04,45.01,4785.94
33.90000000000021,76.12,10849.68,45.17,4786.34
34.00000000000021,77.54,10876.44,44.86,4785.51
34.100000000000215,78.99,10902.77,45.18,4785.63
34.200000000000216,80.62,10928.58,46.22,4786.61
34.30000000000022,81.13,10954.74,47.38,4788.86
34.40000000000022,82.02,10982.39,47.2,4791.34
34.50000000000022,83.47,11008.17,48.28,4793.01
34.60000000000022,85.95,11034.72,49.36,4793.18
34.70000000000022,85.95,11061.95,50.64,4794.65
34.800000000000225,88.36,11089.45,50.84,4796.85
34.900000000000226,91.93,11115.24,52.36,4799.51
35.00000000000023,92.36,11142.25,54.02,4803.02
35.10000000000023,94.61,11169.13,56.16,4804.2
35.20000000000023,95.12,11196.01,58.48,4810.15
35.30000000000023,97.96,11221.68,60.44,4814.56
35.40000000000023,99.58,11249.03,62.17,4819.77
35.500000000000234,102.47,11275.57,63.87,4825.91
35.600000000000236,103.93,11302.6,66.03,4833.08
35.70000000000024,106.81,11328.76,67.74,4839.35
35.80000000000024,108.11,11356.58,69.46,4847.39
35.90000000000024,110.48,11383.31,71.95,4856.67
36.00000000000024,110.69,11409.04,73.82,4865.02
36.10000000000024,114.74,11435.04,74.84,4874.64
36.200000000000244,113.87,11461.97,76.98,4885.13
36.300000000000246,115.19,11488.11,78.4,4895.82
36.40000000000025,116.31,11514.5,79.83,4906.34
36.50000000000025,118.29,11540.77,81.26,4916.19
36.60000000000025,122.2,11566.24,83.28,4924.56
36.70000000000025,120.11,11593.31,84.16,4936.5
36.80000000000025,120.93,11620.77,84.95,4945.89
36.900000000000254,120.12,11646.99,85.3,4956.66
37.000000000000256,119.22,11673.35,86.51,4967.16
37.10000000000026,119.5,11699.42,86.61,4978.04
37.20000000000026,119.94,11725.34,88.52,4986.75
37.30000000000026,118.76,11752.32,88.39,4997.87
37.40000000000026,120.67,11777.29,86.89,5008.86
37.50000000000026,120.42,11801.75,86.93,5019.39
37.600000000000264,119.45,11826.69,87.51,5031.35
37.700000000000266,117.51,11852.95,86.91,5041.81
37.80000000000027,118.1,11878.76,86.19,5050.79
37.90000000000027,116.57,11904.3,85.86,5059.17
38.00000000000027,116.47,11929.81,84.99,5068.26
38.10000000000027,111.6,11955.85,84.68,5077.19
38.20000000000027,111.65,11980.97,82.76,5084.07
38.300000000000274,109.36,12005.59,81.22,5091.79
38.400000000000276,109.81,12031.1,80.66,5097.06
38.50000000000028,107.1,12056.69,80.49,5102.39
38.60000000000028,105.69,12082.1,78.52,5107.43
38.70000000000028,104.15,12107.75,76.99,5112.24
38.80000000000028,101.82,12132.72,75.69,5117.88
38.90000000000028,100.59,12159.3,74.33,5120.29
39.000000000000284,97.78,12185.19,72.36,5124.52
39.100000000000286,97.45,12210.08,71.25,5125.69
39.20000000000029,94.64,12235.71,70.09,5127.91
39.30000000000029,94.07,12261.9,67.75,5127.95
39.40000000000029,90.38,12288.39,66.01,5129.33
39.50000000000029,88.94,12314.12,64.06,5128.96
39.60000000000029,87.66,12338.37,61.87,5130.0
39.700000000000294,86.74,12362.9,59.89,5129.32
39.800000000000296,84.25,12387.45,58.41,5129.93
39.9000000000003,85.21,12411.7,56.61,5128.72
40.0000000000003,83.74,12437.47,55.58,5126.3
40.1000000000003,84.83,12462.41,54.08,5123.82
40.2000000000003,82.4,12487.17,53.69,5123.16
40.3000000000003,82.48,12511.34,52.35,5120.72
40.400000000000304,80.17,12536.09,51.88,5119.63
40.500000000000306,82.14,12560.37,51.45,5115.04
40.60000000000031,82.27,12585.05,50.91,5113.04
40.70000000000031,83.23,12609.83,50.71,5110.9
40.80000000000031,82.07,12636.01,51.21,5108.01
40.90000000000031,82.86,12661.4,51.22,5105.4
41.00000000000031,86.04,12685.57,51.82,5102.94
41.100000000000314,83.79,12711.41,52.45,5104.1
41.200000000000315,86.96,12735.12,52.47,5101.66
41.30000000000032,87.96,12759.09,53.42,5100.11
41.40000000000032,90.36,12782.6,54.86,5098.45
41.50000000000032,91.4,12808.39,56.49,5097.95
41.60000000000032,93.56,12834.32,56.81,5097.94
41.70000000000032,95.01,12858.11,58.3,5099.74
41.800000000000324,97.35,12880.99,59.41,5101.97
41.900000000000325,99.96,12904.88,60.84,5103.02
42.00000000000033,100.08,12929.55,62.29,5106.64
42.10000000000033,102.17,12953.92,64.01,5109.3
42.20000000000033,101.97,12978.07,66.81,5113.96
42.30000000000033,104.08,13002.05,68.66,5117.08
42.40000000000033,108.92,13026.55,69.85,5120.31
42.500000000000334,110.34,13050.94,71.35,5123.61
42.600000000000335,111.11,13075.19,73.7,5128.71
42.70000000000034,112.52,13099.44,74.62,5136.01
42.80000000000034,113.67,13124.14,76.33,5142.05
42.90000000000034,117.28,13148.5,78.57,5148.29
43.00000000000034,117.65,13172.24,81.03,5156.99
43.10000000000034,119.23,13195.53,82.32,5165.28
43.200000000000344,119.43,13219.69,84.42,5174.72
43.300000000000345,122.22,13244.2,86.63,5181.29
43.40000000000035,123.33,13268.37,88.04,5190.61
43.50000000000035,124.6,13292.85,88.74,5199.53
43.60000000000035,125.82,13317.24,90.09,5208.33
43.70000000000035,127.25,13341.18,91.19,5217.97
43.80000000000035,125.58,13366.69,91.28,5228.43
43.900000000000354,125.54,13389.34,91.52,5239.14
44.000000000000355,125.89,13412.85,92.84,5249.06
44.10000000000036,126.0,13437.0,92.57,5259.22
44.20000000000036,126.43,13459.87,92.95,5267.5
44.30000000000036,128.87,13483.05,92.98,5275.7
44.40000000000036,127.95,13507.23,93.14,5287.38
44.50000000000036,125.31,13531.14,93.3,5296.25
44.600000000000364,124.74,13555.19,92.16,5305.87
44.700000000000365,125.18,13579.2,92.18,5314.36
44.80000000000037,122.36,13603.7,91.62,5322.84
44.90000000000037,120.06,13626.99,90.65,5332.2
45.00000000000037,120.15,13651.5,89.83,5338.24
45.10000000000037,118.39,13675.31,89.52,5344.33
45.20000000000037,117.52,13698.5,89.52,5349.24
45.300000000000374,116.87,13721.5,88.55,5354.23
45.400000000000375,113.25,13744.5,87.42,5359.9
45.50000000000038,113.16,13768.38,85.4,5363.6
45.60000000000038,111.31,13791.08,83.7,5367.62
45.70000000000038,110.8,13814.41,82.31,5371.18
45.80000000000038,109.43,13838.0,80.4,5373.84
45.90000000000038,106.11,13863.02,79.67,5375.78
46.000000000000384,106.23,13884.9,77.47,5378.06
46.100000000000385,103.64,13907.86,75.98,5380.39
46.20000000000039,102.59,13930.89,73.39,5381.95
46.30000000000039,101.46,13954.33,71.7,5381.82
46.40000000000039,98.96,13977.54,70.85,5382.39
46.50000000000039,94.94,14000.1,70.34,5382.23
46.60000000000039,94.23,14022.58,69.07,5380.85
46.700000000000394,92.18,14047.64,66.31,5380.48
46.800000000000395,93.03,14070.65,64.25,5377.4
46.9000000000004,91.52,14093.96,62.72,5374.75
47.0000000000004,91.47,14116.09,60.92,5373.55
47.1000000000004,92.4,14138.99,60.12,5368.47
47.2000000000004,91.2,14160.36,60.27,5366.65
