t,Q,B,RS,RL,q,b,rS,rL,Q_difference,B_difference,RS_difference,RL_difference
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,24.55,20.06,0.01,19.64,24.537084329752396,19.555370836040886,0.0,19.493188807757257,0.012915670247604538,0.5046291639591125,0.01,0.14681119224274397
0.2,28.12,51.93,0.19,50.96,27.178790815145785,51.581321744366164,0.0,51.185961886128325,0.9412091848542161,0.3486782556338355,0.19,-0.22596188612832435
0.30000000000000004,29.33,85.96,0.48,84.64,28.531617251873826,85.78391601822062,0.0,84.73100919861747,0.7983827481261727,0.1760839817793709,0.48,-0.09100919861747059
0.4,30.96,119.73,0.83,119.54,29.791966020981977,121.54423713212381,0.0,119.49544369647465,1.1680339790180234,-1.8142371321238073,0.83,0.044556303525354224
0.5,32.15,154.2,1.28,155.09,31.021383323553238,158.79866395208222,0.0,155.4043126232979,1.128616676446761,-4.598663952082234,1.28,-0.31431262329789433
1.3,52.04,457.53,12.93,459.34,50.3026956121327,470.9520433474934,10.543878600952505,461.9485113504474,1.7373043878672974,-13.4220433474934,2.3861213990474948,-2.6085113504474293
1.4000000000000001,54.82,495.69,14.91,500.72,52.65862917967029,509.83611183429883,12.879386419737742,501.88212125283735,2.161370820329708,-14.146111834298836,2.0306135802622585,-1.1621212528373235
4.4,24.81,1595.54,1.95,1445.39,23.617587457506485,1613.4356382827991,1.0931582718469637,1445.6164359684433,1.1924125424935141,-17.895638282799155,0.8568417281530363,-0.2264359684431838
4.5,23.1,1622.81,1.47,1458.2,22.868705812064675,1640.2392456861298,0.8061212841747113,1458.1840825191475,0.23129418793532608,-17.42924568612989,0.6638787158252887,0.015917480852522203
19.0,37.78,6309.87,13.39,3742.06,37.23169004581265,6357.284649969397,13.033023687615957,3756.9032090345527,0.5483099541873528,-47.41464996939703,0.3569763123840435,-14.843209034552729
19.1,37.88,6339.75,11.9,3740.86,35.776546840341766,6389.327521358314,10.796490834701656,3755.981770931881,2.103453159658237,-49.57752135831379,1.1035091652983446,-15.121770931880747
19.200000000000003,37.72,6369.76,10.63,3737.54,34.6265963109956,6421.333151970432,8.802936557625179,3754.6769321459637,3.093403689004397,-51.573151970431354,1.827063442374822,-17.136932145963783
