scenario,replication,seed,total_arrivals,fresh_arrivals,recertification_arrivals,short_redial_arrivals,long_redial_arrivals,service_successes,service_failures,abandon_lost,abandon_short,abandon_long,total_abandonments,mean_Q,mean_waiting,mean_B,mean_RS,mean_RL,utilization,average_wait_including_abandonments_minutes,average_speed_to_answer_minutes,average_time_to_abandonment_minutes,abandonment_fraction,procedural_denial_rate_per_model_day,total_arrival_rate_per_model_day,effective_arrival_rate_per_model_day,returning_call_rate_per_model_day,final_Q,final_waiting,final_in_service,final_B,final_RS,final_RL,min_Q,min_B,min_RS,min_RL,max_in_service,abandonments_per_fresh_arrival,abandonments_per_external_arrival,redial_arrivals_per_fresh_arrival,redial_arrivals_per_external_arrival,total_attempts_per_fresh_arrival,total_attempts_per_external_arrival,repeat_attempt_share,mean_attempts_before_enrollment,median_attempts_before_enrollment,p90_attempts_before_enrollment,p95_attempts_before_enrollment,max_attempts_before_enrollment,num_completed_enrollments_with_attempt_records
sinusoidal_amp_050,0,20260628,60889,29773,3024,6912,21180,18575,18663,9476,6966,7143,23585,80.28084944456161,49.01093836341369,8242.219944601276,47.16998620530328,3931.2505571731544,0.9771847212858806,20.862448584011464,24.46495277581566,15.174509169366374,0.38734418367849693,197.41666666666666,1268.5208333333333,777.1666666666666,648.25,129,97,32,14817,83,5381,0,0,0,0,32,0.7921606824975649,0.7191206512790804,0.9435394484936016,0.8565417568680063,2.0451079837436605,1.8565417568680063,0.46136412159831824,0.7889636608344549,0.0,2.0,3.0,10,18575
sinusoidal_amp_050,1,20260629,60939,29701,3055,7184,20999,18577,18406,9439,7261,7190,23890,80.65135342720092,49.318389199362805,8170.975310672697,51.050782542384816,3929.6768620506205,0.9791551321199137,20.971412417082725,24.747382475310552,15.126008454611398,0.392031375637933,196.64583333333334,1269.5625,771.8541666666666,650.7916666666666,134,102,32,14716,98,5324,0,0,0,0,32,0.804350021884785,0.7293320307729881,0.9488906097437797,0.8603919892538772,2.051749099356924,1.8603919892538772,0.4624788723149379,0.7927544813479033,0.0,2.0,3.0,9,18577
sinusoidal_amp_050,2,20260630,61444,29951,3130,7195,21168,18472,18433,9803,7291,7382,24476,81.53282229679884,50.31742265268739,8210.463286843727,49.39557589870589,3987.547908512757,0.9754812388785198,21.224518914561106,24.994067400424143,15.540780277905792,0.398346461818892,204.22916666666666,1280.0833333333333,770.1666666666666,656.1041666666666,127,95,32,14595,113,5367,0,0,0,0,32,0.8172014290007011,0.7398808984008948,0.9469800674434911,0.8573803693963302,2.051484090681446,1.8573803693963302,0.46160731723195103,0.7804244261585102,0.0,2.0,3.0,8,18472
sinusoidal_amp_050,3,20260631,60404,29663,3050,6924,20767,18804,18315,9421,6993,6828,23242,80.28762097938296,48.937110681152156,8269.311647647575,48.80524118673366,3883.5261887529773,0.9797034468197356,20.997794008554976,24.413941694813126,15.541981859591184,0.38477584265942655,196.27083333333334,1258.4166666666667,774.2083333333334,640.4375,115,83,32,14958,98,5122,0,0,0,0,32,0.7835350436570813,0.7104820713477822,0.9335198732427603,0.8464830495521658,2.0363415703064423,1.8464830495521658,0.45842990530428446,0.7972239948947033,0.0,2.0,3.0,11,18804
sinusoidal_amp_050,4,20260632,60573,29562,3143,6997,20871,18644,18548,9302,7047,6999,23348,80.47415579822373,49.211294569488636,8276.190740148197,48.661611412028265,3910.8531256526876,0.9769644133979506,21.05156522194217,24.431018627347765,15.668293376223273,0.3854522642101266,193.79166666666666,1261.9375,775.5208333333334,646.0625,118,86,32,14770,82,5405,0,0,0,0,32,0.7897977132805629,0.7138969576517352,0.9426967052296867,0.8521021250573306,2.049015628171301,1.8521021250573306,0.46007296980502865,0.7825037545591075,0.0,2.0,3.0,10,18644
sinusoidal_amp_050,5,20260633,62070,30060,3074,7407,21529,18447,18699,9878,7485,7464,24827,82.91774559790333,51.66553949573424,8150.62630075027,51.25881452964441,4000.514722834971,0.9766314406927458,21.574632674862457,25.468084585121368,15.749274610719489,0.3999838891574029,205.79166666666666,1293.125,775.8958333333334,666.875,137,105,32,14586,96,5367,0,0,0,0,32,0.8259148369926813,0.7492907587372487,0.9626081170991351,0.8733023480412869,2.064870259481038,1.873302348041287,0.4661833413887546,0.8074483655879005,0.0,2.0,3.0,9,18447
sinusoidal_amp_050,6,20260634,60821,29553,3090,7002,21176,18506,18762,9484,7055,6976,23515,80.2623508669909,48.93786665097587,8166.5762854212335,48.69866895448675,3958.7537740350053,0.9788901317504495,20.850970802707796,24.21032210128138,15.526866860745631,0.3866263297216422,197.58333333333334,1267.1041666666667,777.2083333333334,651.4166666666666,118,86,32,14626,82,5375,0,0,0,0,32,0.795689100937299,0.7203688386484085,0.953473420634115,0.8632172288086266,2.0580313335363583,1.8632172288086266,0.4632939280840499,0.7964984329406679,0.0,2.0,3.0,11,18506
sinusoidal_amp_050,7,20260635,60050,29516,3066,6838,20630,18765,18414,9141,6909,6746,22796,78.75070390104334,47.59975938646827,8336.133277267518,47.171628599888926,3862.3550683137587,0.9734670160804816,20.545031011455933,23.554178786313063,15.637279426905431,0.37961698584512904,190.4375,1251.0416666666667,776.125,636.125,140,108,32,14844,94,5264,0,0,0,0,32,0.772326873560103,0.6996501135596341,0.930613904323079,0.843042170523602,2.034489768261282,1.843042170523602,0.4574188176519567,0.7680788702371436,0.0,2.0,3.0,9,18765
sinusoidal_amp_050,8,20260636,60531,29563,3008,6920,21040,18602,18697,9257,6976,6935,23168,79.40135661312368,48.13217115629816,8243.057655575012,47.39540621193084,3951.923555092144,0.9771620455258065,20.605692268903063,23.856714513214218,15.371754134814578,0.3827460309593431,192.85416666666666,1261.0625,778.3958333333334,645.1666666666666,123,91,32,14797,91,5342,0,0,0,0,32,0.7836823055846835,0.7113076049246262,0.9457768156141122,0.85843234779405,2.047525623245273,1.8584323477940499,0.4619120781087377,0.7824965057520696,0.0,2.0,3.0,10,18602
sinusoidal_amp_050,9,20260637,60724,29488,2996,7134,21106,18390,18386,9549,7216,7110,23875,80.86817711411132,49.735606154287275,8113.61393037457,49.556857254747804,3893.336741261885,0.9728928424945003,21.21766034992309,24.94443107381217,15.477106626708641,0.39317238653580133,198.9375,1265.0833333333333,767.6875,650.75,145,113,32,14532,104,5130,0,0,0,0,32,0.8096513836136734,0.7349772195542421,0.9576776994031471,0.8693510651397611,2.0592783505154637,1.8693510651397611,0.4650550029642316,0.7969548667754214,0.0,2.0,3.0,11,18390
